filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
0.png,428,"{""note"":""1"",""pitch"":""high"",""duration"":""4""}",0,0,{},{}
1.png,917,"{""note"":""3"",""pitch"":""high"",""duration"":""4""}",0,0,{},{}
2.png,780,"{""note"":""2"",""pitch"":""high"",""duration"":""4""}",0,0,{},{}
3.png,421,"{""note"":""1"",""pitch"":""high"",""duration"":""8""}",0,0,{},{}
4.png,710,"{""note"":""2"",""pitch"":""high"",""duration"":""8""}",0,0,{},{}
5.png,144,"{""note"":""|"",""pitch"":""normal"",""duration"":""0""}",0,0,{},{}
6.png,1053,"{""note"":""5"",""pitch"":""normal"",""duration"":""4""}",0,0,{},{}
7.png,786,"{""note"":""2"",""pitch"":""high"",""duration"":""4""}",0,0,{},{}
8.png,448,"{""note"":""1"",""pitch"":""high"",""duration"":""4""}",0,0,{},{}
9.png,868,"{""note"":""6"",""pitch"":""normal"",""duration"":""8""}",0,0,{},{}
10.png,713,"{""note"":""7"",""pitch"":""normal"",""duration"":""8""}",0,0,{},{}
11.png,161,"{""note"":""|"",""pitch"":""normal"",""duration"":""0""}",0,0,{},{}
12.png,428,"{""note"":""1"",""pitch"":""high"",""duration"":""4""}",0,0,{},{}
13.png,921,"{""note"":""3"",""pitch"":""high"",""duration"":""4""}",0,0,{},{}
14.png,797,"{""note"":""2"",""pitch"":""high"",""duration"":""4""}",0,0,{},{}
15.png,428,"{""note"":""1"",""pitch"":""high"",""duration"":""4""}",0,0,{},{}
16.png,144,"{""note"":""|"",""pitch"":""normal"",""duration"":""0""}",0,0,{},{}
17.png,920,"{""note"":""3"",""pitch"":""high"",""duration"":""4""}",0,0,{},{}
18.png,215,"{""note"":""line"",""pitch"":""normal"",""duration"":""0""}",0,0,{},{}
19.png,1006,"{""note"":""0"",""pitch"":""normal"",""duration"":""4""}",0,0,{},{}
20.png,918,"{""note"":""6"",""pitch"":""normal"",""duration"":""8""}",0,0,{},{}
21.png,669,"{""note"":""7"",""pitch"":""normal"",""duration"":""8""}",0,0,{},{}
22.png,144,"{""note"":""|"",""pitch"":""normal"",""duration"":""0""}",0,0,{},{}
23.png,464,"{""note"":""1"",""pitch"":""high"",""duration"":""4""}",0,0,{},{}
24.png,916,"{""note"":""3"",""pitch"":""high"",""duration"":""4""}",0,0,{},{}
25.png,810,"{""note"":""2"",""pitch"":""high"",""duration"":""4""}",0,0,{},{}
26.png,795,"{""note"":""5"",""pitch"":""high"",""duration"":""8""}",0,0,{},{}
27.png,720,"{""note"":""2"",""pitch"":""high"",""duration"":""8""}",0,0,{},{}
28.png,161,"{""note"":""|"",""pitch"":""normal"",""duration"":""0""}",0,0,{},{}
29.png,1073,"{""note"":""5"",""pitch"":""normal"",""duration"":""4""}",0,0,{},{}
30.png,442,"{""note"":""5"",""pitch"":""normal"",""duration"":""16""}",0,0,{},{}
31.png,653,"{""note"":""6"",""pitch"":""normal"",""duration"":""8""}",0,0,{},{}
32.png,678,"{""note"":""3"",""pitch"":""normal"",""duration"":""16""}",0,0,{},{}
33.png,819,"{""note"":""3"",""pitch"":""normal"",""duration"":""8""}",0,0,{},{}
34.png,389,"{""note"":""1"",""pitch"":""normal"",""duration"":""8""}",0,0,{},{}
35.png,641,"{""note"":""7"",""pitch"":""low"",""duration"":""8""}",0,0,{},{}
36.png,299,"{""note"":""1"",""pitch"":""normal"",""duration"":""16""}",0,0,{},{}
37.png,642,"{""note"":""5"",""pitch"":""normal"",""duration"":""16""}",0,0,{},{}
38.png,172,"{""note"":""|"",""pitch"":""normal"",""duration"":""0""}",0,0,{},{}
39.png,626,"{""note"":""5"",""pitch"":""normal"",""duration"":""4""}",0,0,{},{}
40.png,822,"{""note"":""dot"",""pitch"":""normal"",""duration"":""0""}",0,0,{},{}
41.png,938,"{""note"":""dot"",""pitch"":""normal"",""duration"":""0""}",0,0,{},{}
42.png,506,"{""note"":""5"",""pitch"":""normal"",""duration"":""16""}",0,0,{},{}
43.png,836,"{""note"":""5"",""pitch"":""normal"",""duration"":""8""}",0,0,{},{}
44.png,744,"{""note"":""4"",""pitch"":""normal"",""duration"":""8""}",0,0,{},{}
45.png,801,"{""note"":""6"",""pitch"":""low"",""duration"":""8""}",0,0,{},{}
46.png,623,"{""note"":""7"",""pitch"":""low"",""duration"":""8""}",0,0,{},{}
47.png,172,"{""note"":""|"",""pitch"":""normal"",""duration"":""0""}",0,0,{},{}
48.png,218,"{""note"":""1"",""pitch"":""normal"",""duration"":""4""}",0,0,{},{}
49.png,246,"{""note"":""line"",""pitch"":""normal"",""duration"":""0""}",0,0,{},{}
50.png,911,"{""note"":""0"",""pitch"":""normal"",""duration"":""4""}",0,0,{},{}
51.png,745,"{""note"":""0"",""pitch"":""normal"",""duration"":""8""}",0,0,{},{}
52.png,800,"{""note"":""5"",""pitch"":""low"",""duration"":""8""}",0,0,{},{}
53.png,179,"{""note"":""|"",""pitch"":""normal"",""duration"":""0""}",0,0,{},{}
54.png,218,"{""note"":""1"",""pitch"":""normal"",""duration"":""4""}",0,0,{},{}
55.png,246,"{""note"":""line"",""pitch"":""normal"",""duration"":""0""}",0,0,{},{}
56.png,903,"{""note"":""0"",""pitch"":""normal"",""duration"":""4""}",0,0,{},{}
57.png,854,"{""note"":""6"",""pitch"":""normal"",""duration"":""8""}",0,0,{},{}
58.png,661,"{""note"":""7"",""pitch"":""normal"",""duration"":""8""}",0,0,{},{}
59.png,157,"{""note"":""|"",""pitch"":""normal"",""duration"":""0""}",0,0,{},{}
60.png,997,"{""note"":""6"",""pitch"":""normal"",""duration"":""4""}",0,0,{},{}
61.png,780,"{""note"":""6"",""pitch"":""normal"",""duration"":""8""}",0,0,{},{}
62.png,414,"{""note"":""1"",""pitch"":""high"",""duration"":""8""}",0,0,{},{}
63.png,566,"{""note"":""7"",""pitch"":""normal"",""duration"":""8""}",0,0,{},{}
64.png,692,"{""note"":""5"",""pitch"":""normal"",""duration"":""8""}",0,0,{},{}
65.png,418,"{""note"":""1"",""pitch"":""high"",""duration"":""8""}",0,0,{},{}
66.png,714,"{""note"":""2"",""pitch"":""high"",""duration"":""8""}",0,0,{},{}
67.png,172,"{""note"":""|"",""pitch"":""normal"",""duration"":""0""}",0,0,{},{}
68.png,685,"{""note"":""2"",""pitch"":""high"",""duration"":""8""}",0,0,{},{}
69.png,708,"{""note"":""3"",""pitch"":""high"",""duration"":""8""}",0,0,{},{}
70.png,797,"{""note"":""3"",""pitch"":""high"",""duration"":""4""}",0,0,{},{}
71.png,184,"{""note"":""line"",""pitch"":""normal"",""duration"":""0""}",0,0,{},{}
72.png,667,"{""note"":""5"",""pitch"":""high"",""duration"":""8""}",0,0,{},{}
73.png,753,"{""note"":""3"",""pitch"":""normal"",""duration"":""8""}",0,0,{},{}
74.png,163,"{""note"":""|"",""pitch"":""normal"",""duration"":""0""}",0,0,{},{}
75.png,773,"{""note"":""3"",""pitch"":""high"",""duration"":""4""}",0,0,{},{}
76.png,702,"{""note"":""2"",""pitch"":""high"",""duration"":""8""}",0,0,{},{}
77.png,410,"{""note"":""1"",""pitch"":""high"",""duration"":""8""}",0,0,{},{}
78.png,734,"{""note"":""2"",""pitch"":""high"",""duration"":""4""}",0,0,{},{}
79.png,432,"{""note"":""1"",""pitch"":""high"",""duration"":""8""}",0,0,{},{}
80.png,564,"{""note"":""7"",""pitch"":""normal"",""duration"":""8""}",0,0,{},{}
81.png,163,"{""note"":""|"",""pitch"":""normal"",""duration"":""0""}",0,0,{},{}
82.png,705,"{""note"":""2"",""pitch"":""normal"",""duration"":""8""}",0,0,{},{}
83.png,847,"{""note"":""2"",""pitch"":""normal"",""duration"":""4""}",0,0,{},{}
84.png,172,"{""note"":""|"",""pitch"":""normal"",""duration"":""0""}",0,0,{},{}
85.png,382,"{""note"":""3"",""pitch"":""normal"",""duration"":""8""}",0,0,{},{}
86.png,362,"{""note"":""dot"",""pitch"":""normal"",""duration"":""0""}",0,0,{},{}
87.png,585,"{""note"":""7"",""pitch"":""low"",""duration"":""16""}",0,0,{},{}
88.png,584,"{""note"":""7"",""pitch"":""low"",""duration"":""8""}",0,0,{},{}
89.png,759,"{""note"":""5"",""pitch"":""low"",""duration"":""8""}",0,0,{},{}
90.png,275,"{""note"":""1"",""pitch"":""normal"",""duration"":""4""}",0,0,{},{}
91.png,164,"{""note"":""line"",""pitch"":""normal"",""duration"":""0""}",0,0,{},{}
92.png,172,"{""note"":""|"",""pitch"":""normal"",""duration"":""0""}",0,0,{},{}
93.png,312,"{""note"":""0"",""pitch"":""normal"",""duration"":""8""}",0,0,{},{}
94.png,646,"{""note"":""4"",""pitch"":""low"",""duration"":""16""}",0,0,{},{}
95.png,647,"{""note"":""4"",""pitch"":""low"",""duration"":""16""}",0,0,{},{}
96.png,741,"{""note"":""4"",""pitch"":""low"",""duration"":""8""}",0,0,{},{}
97.png,743,"{""note"":""3"",""pitch"":""low"",""duration"":""16""}",0,0,{},{}
98.png,741,"{""note"":""3"",""pitch"":""low"",""duration"":""16""}",0,0,{},{}
99.png,726,"{""note"":""3"",""pitch"":""low"",""duration"":""16""}",0,0,{},{}
100.png,759,"{""note"":""2"",""pitch"":""low"",""duration"":""8""}",0,0,{},{}
101.png,632,"{""note"":""2"",""pitch"":""low"",""duration"":""16""}",0,0,{},{}
102.png,770,"{""note"":""2"",""pitch"":""low"",""duration"":""8""}",0,0,{},{}
103.png,764,"{""note"":""5"",""pitch"":""low"",""duration"":""8""}",0,0,{},{}
104.png,172,"{""note"":""|"",""pitch"":""normal"",""duration"":""0""}",0,0,{},{}
105.png,661,"{""note"":""2"",""pitch"":""low"",""duration"":""16""}",0,0,{},{}
106.png,875,"{""note"":""3"",""pitch"":""low"",""duration"":""8""}",0,0,{},{}
107.png,442,"{""note"":""dot"",""pitch"":""normal"",""duration"":""0""}",0,0,{},{}
108.png,810,"{""note"":""0"",""pitch"":""normal"",""duration"":""4""}",0,0,{},{}
109.png,833,"{""note"":""0"",""pitch"":""normal"",""duration"":""4""}",0,0,{},{}
110.png,475,"{""note"":""dot"",""pitch"":""normal"",""duration"":""0""}",0,0,{},{}
111.png,711,"{""note"":""5"",""pitch"":""low"",""duration"":""16""}",0,0,{},{}
112.png,683,"{""note"":""5"",""pitch"":""low"",""duration"":""16""}",0,0,{},{}
113.png,172,"{""note"":""|"",""pitch"":""normal"",""duration"":""0""}",0,0,{},{}
114.png,831,"{""note"":""6"",""pitch"":""normal"",""duration"":""8""}",0,0,{},{}
115.png,607,"{""note"":""7"",""pitch"":""normal"",""duration"":""8""}",0,0,{},{}
116.png,483,"{""note"":""1"",""pitch"":""high"",""duration"":""8""}",0,0,{},{}
117.png,170,"{""note"":""|"",""pitch"":""normal"",""duration"":""0""}",0,0,{},{}
118.png,797,"{""note"":""2"",""pitch"":""high"",""duration"":""4""}",0,0,{},{}
119.png,993,"{""note"":""5"",""pitch"":""normal"",""duration"":""4""}",0,0,{},{}
120.png,771,"{""note"":""2"",""pitch"":""high"",""duration"":""4""}",0,0,{},{}
121.png,712,"{""note"":""4"",""pitch"":""high"",""duration"":""8""}",0,0,{},{}
122.png,716,"{""note"":""4"",""pitch"":""high"",""duration"":""8""}",0,0,{},{}
123.png,168,"{""note"":""|"",""pitch"":""normal"",""duration"":""0""}",0,0,{},{}
124.png,721,"{""note"":""4"",""pitch"":""high"",""duration"":""8""}",0,0,{},{}
125.png,806,"{""note"":""3"",""pitch"":""high"",""duration"":""8""}",0,0,{},{}
126.png,818,"{""note"":""3"",""pitch"":""high"",""duration"":""8""}",0,0,{},{}
